parametername,parameterid,fixfit,Parameter.class,Parameter.description,Model.guild.or.feature
hsfishm_ceta,470,0,Ecology model fitted,Uptake half saturation coefficient,Migratory fish by cetaceans
ufishd_ceta,471,0,Ecology model fitted,Maximum uptake rate,Demersal fish by cetaceans
hsfishd_ceta,472,0,Ecology model fitted,Uptake half saturation coefficient,Demersal fish by cetaceans
ubird_ceta,473,0,Ecology model fitted,Maximum uptake rate,Birds by cetaceans
hsbird_ceta,474,0,Ecology model fitted,Uptake half saturation coefficient,Birds by cetaceans
useal_ceta,475,0,Ecology model fitted,Maximum uptake rate,Pinnipeds by cetaceans
hsseal_ceta,476,0,Ecology model fitted,Uptake half saturation coefficient,Pinnipeds by cetaceans
udisc_ceta,477,0,Ecology model fitted,Maximum uptake rate,Discards by cetaceans
hsdisc_ceta,478,0,Ecology model fitted,Uptake half saturation coefficient,Discards by cetaceans
bdapar_ceta,479,0,Ecology model fitted,Bedding DeAngelis parameter,Cetaceans
aH,480,1,Ecology model fixed,Assimilation efficiency,Omnivorous zooplankton
aC,481,1,Ecology model fixed,Assimilation efficiency,Carnivorous zooplankton
aBslar,482,1,Ecology model fixed,Assimilation efficiency,Suspension/deposit feeding benthos larvae
aBclar,483,1,Ecology model fixed,Assimilation efficiency,Carnivore/scavenge feeding benthos larvae
aBs,484,1,Ecology model fixed,Assimilation efficiency,Suspension/deposit feeding benthos
aBc,485,1,Ecology model fixed,Assimilation efficiency,Carnivore/scavenge feeding benthos
aFplar,486,1,Ecology model fixed,Assimilation efficiency,Planktivorous fish larvae
aFdlar,487,1,Ecology model fixed,Assimilation efficiency,Demersal fish larvae
aFp,488,1,Ecology model fixed,Assimilation efficiency,Planktivorous fish
aFm,489,1,Ecology model fixed,Assimilation efficiency,Migratory fish
aFd,490,1,Ecology model fixed,Assimilation efficiency,Demersal fish
abird,491,1,Ecology model fixed,Assimilation efficiency,Birds
aseal,492,1,Ecology model fixed,Assimilation efficiency,Pinnipeds
aceta,493,1,Ecology model fixed,Assimilation efficiency,Cetaceans
eHt,494,1,Ecology model fixed,Background metabolic rate coefficient,Omnivorous zooplankton
eCt,495,1,Ecology model fixed,Background metabolic rate coefficient,Carnivorous zooplankton
eBslart,496,1,Ecology model fixed,Background metabolic rate coefficient,Suspension/deposit feeding benthos larvae
eBclart,497,1,Ecology model fixed,Background metabolic rate coefficient,Carnivore/scavenge feeding benthos larvae
eBst,498,1,Ecology model fixed,Background metabolic rate coefficient,Suspension/deposit feeding benthos
eBct,499,1,Ecology model fixed,Background metabolic rate coefficient,Carnivore/scavenge feeding benthos
eFplart,500,1,Ecology model fixed,Background metabolic rate coefficient,Planktivorous fish larvae
eFdlart,501,1,Ecology model fixed,Background metabolic rate coefficient,Demersal fish larvae
eFpt,502,1,Ecology model fixed,Background metabolic rate coefficient,Planktivorous fish
eFmt,503,1,Ecology model fixed,Background metabolic rate coefficient,Migratory fish
eFdt,504,1,Ecology model fixed,Background metabolic rate coefficient,Demersal fish
ebirdt,505,1,Ecology model fixed,Background metabolic rate coefficient,Birds
esealt,506,1,Ecology model fixed,Background metabolic rate coefficient,Pinnipeds
ecetat,507,1,Ecology model fixed,Background metabolic rate coefficient,Cetaceans
mt,508,0,Ecology model fitted,Mineralisation rate coefficient,Suspended detritus
nst,509,0,Ecology model fitted,Nitrification rate coefficient,Upper layer ammonia
dst,510,0,Ecology model fitted,Denitrification rate coefficient,Upper layer nitrate
ndt,511,0,Ecology model fitted,Nitrification rate coefficient,Lower layer ammonia
ddt,512,0,Ecology model fitted,Denitrification rate coefficient,Lower layer nitrate
qs_p1,513,0,Ecology model fitted,Conversion rate coefficient,Labile to refractory sediment detritus
qs_p2,514,0,Ecology model fitted,Mineralistation rate scaling parameter,Refractory sediment detritus
qs_p3,515,0,Ecology model fitted,Remobilisation parameter,Refractory to labile sediment detritus
msedt,516,0,Ecology model fitted,Mineralisation rate coefficient,Labile sediment detritus
msens,517,0,Ecology model fitted,Mineralisation rate sensitivity to grain size,Labile sediment detritus
nsedt,518,0,Ecology model fitted,Nitrification rate coefficient,Sediment porewater ammonia
nsens,519,0,Ecology model fitted,Nitrification rate sensitivity to grain size,Sediment porewater ammonia
dsedt,520,0,Ecology model fitted,Denitrification rate coefficient,Sediment porewater nitrate
dsens,521,0,Ecology model fitted,Denitrification rate sensitivity to grain size,Sediment porewater nitrate
xwave_kelp,522,0,Ecology model fitted,Wave height dependent conversion rate,Macrophytes to macrophyte debris
xst,523,0,Ecology model fitted,Density dependent mortality coefficient,Phytoplankton upper layer
xdt,524,0,Ecology model fitted,Density dependent mortality coefficient,Phytoplankton lower layer
xomni,525,0,Ecology model fitted,Density dependent mortality coefficient,Omnivorous zooplankton
xcarn,526,0,Ecology model fitted,Density dependent mortality coefficient,Carnivorous zooplankton
xbenthslar,527,0,Ecology model fitted,Density dependent mortality coefficient,Suspension/deposit feeding benthos larvae
xbenthclar,528,0,Ecology model fitted,Density dependent mortality coefficient,Carnivore/scavenge feeding benthos larvae
xbenths,529,0,Ecology model fitted,Density dependent mortality coefficient,Suspension/deposit feeding benthos
xbenthc,530,0,Ecology model fitted,Density dependent mortality coefficient,Carnivore/scavenge feeding benthos
xpfishlar,531,0,Ecology model fitted,Density dependent mortality coefficient,Planktivorous fish larvae
xdfishlar,532,0,Ecology model fitted,Density dependent mortality coefficient,Demersal fish larvae
xpfish,533,0,Ecology model fitted,Density dependent mortality coefficient,Planktivorous fish
xmfish,534,0,Ecology model fitted,Density dependent mortality coefficient,Migratory fish
xdfish,535,0,Ecology model fitted,Density dependent mortality coefficient,Demersal fish
xbird,536,0,Ecology model fitted,Density dependent mortality coefficient,Birds
xseal,537,0,Ecology model fitted,Density dependent mortality coefficient,Pinnipeds
xceta,538,0,Ecology model fitted,Density dependent mortality coefficient,Cetaceans
kelpdebris_det,539,0,Ecology model fitted,Disintigration rate,Macrophyte debris to detritus
corp_det,540,0,Ecology model fitted,Conversion rate coefficient,Corpses to labile sediment detritus
disc_corp,541,0,Ecology model fitted,Conversion rate coefficient,Discards to corpses
dsink_s,542,0,Ecology model fitted,Sinking rate coefficient,Upper layer suspended detritus
dsink_d_,543,0,Ecology model fitted,Sinking rate coefficient,Lower layer suspended detritus
dfdp,544,0,Ecology model fitted,Scaling parameter,Linking demersal fish survey and model abundance
pfish_migcoef,545,0,Ecology model fitted,Active migration coefficient,Planktivorous fish
mfish_migcoef,546,0,Ecology model fitted,Active migration coefficient,Migratory fish
dfish_migcoef,547,0,Ecology model fitted,Active migration coefficient,Demersal fish
bird_migcoef,548,0,Ecology model fitted,Active migration coefficient,Birds
seal_migcoef,549,0,Ecology model fitted,Active migration coefficient,Pinnipeds
ceta_migcoef,550,0,Ecology model fitted,Active migration coefficient,Cetaceans
protect_PF_o,551,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Planktivorous fish offshore
protect_DF_o,552,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Demersal fish offshore
protect_MF_o,553,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Migratory fish offshore
protect_SB_o,554,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Suspension/deposit feeding benthos offshore
protect_CB_o,555,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Carnivore/scavenge feeding benthos offshore
protect_CZ_o,556,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Carnivorous zooplankton offshore
protect_BD_o,557,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Birds offshore
protect_SL_o,558,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Pinnipeds offshore
protect_CT_o,559,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Cetaceans offshore
protect_PF_i,560,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Planktivorous fish inshore
protect_DF_i,561,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Demersal fish inshore
protect_MF_i,562,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Migratory fish inshore
protect_SB_i,563,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Suspension/deposit feeding benthos inshore
protect_CB_i,564,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Carnivore/scavenge feeding benthos inshore
protect_CZ_i,565,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Carnivorous zooplankton inshore
protect_BD_i,566,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Birds inshore
protect_SL_i,567,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Pinnipeds inshore
protect_CT_i,568,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Cetaceans inshore
protect_KP_i,569,0,Ecology model fitted,Threshold biomass for zero exploitable stock remaining,Macrophytes inshore
max_exploitable_f_PF,570,1,Ecology model fixed,Maximum exploitable fraction of stock,Planktivorous fish
max_exploitable_f_DF,571,1,Ecology model fixed,Maximum exploitable fraction of stock,Demersal fish
max_exploitable_f_MF,572,1,Ecology model fixed,Maximum exploitable fraction of stock,Migratory fish
max_exploitable_f_SB,573,1,Ecology model fixed,Maximum exploitable fraction of stock,Suspension/deposit feeding benthos
max_exploitable_f_CB,574,1,Ecology model fixed,Maximum exploitable fraction of stock,Carnivore/scavenge feeding benthos
max_exploitable_f_CZ,575,1,Ecology model fixed,Maximum exploitable fraction of stock,Carnivorous zooplankton
max_exploitable_f_BD,576,1,Ecology model fixed,Maximum exploitable fraction of stock,Birds
max_exploitable_f_SL,577,1,Ecology model fixed,Maximum exploitable fraction of stock,Pinnipeds
max_exploitable_f_CT,578,1,Ecology model fixed,Maximum exploitable fraction of stock,Cetaceans
max_exploitable_f_KP,579,1,Ecology model fixed,Maximum exploitable fraction of stock,Macrophytes
PF_fec,580,1,Ecology model fixed,Annual fecundity,Planktivorous fish
DF_fec,581,1,Ecology model fixed,Annual fecundity,Demersal fish
BS_fec,582,1,Ecology model fixed,Annual fecundity,Suspension/deposit feeding benthos
BC_fec,583,1,Ecology model fixed,Annual fecundity,Carnivore/scavenge feeding benthos
CZ_inedible_biomass_o,584,1,Ecology model fixed,Inedible biomass offshore,Carnivorous zooplankton
CZ_inedible_biomass_i,585,1,Ecology model fixed,Inedible biomass inshore,Carnivorous zooplankton
fdriversslight,1001,4,Environmental driver,Sea surface irradiance,Inshore and offshore zones
fdriverso_logespm,1002,4,Environmental driver,Suspended particulate matter,Offshore zone
fdriversi_logespm,1003,4,Environmental driver,Suspended particulate matter,Inshore zone
fdriverso_temp,1004,4,Environmental driver,Temperature,Offshore zone upper layer
fdriverd_temp,1005,4,Environmental driver,Temperature,Lower layer offshore
fdriversi_temp,1006,4,Environmental driver,Temperature,Inshore zone
fdriverv_dif,1007,4,Environmental driver,Vertical diffusion rate,Offshore zone
fdriverso_inflow,1008,4,Environmental driver,Boundary volume inflow rate,Inshore zone
fdriverd_inflow,1009,4,Environmental driver,Boundary volume inflow rate,Lower layer offshore
fdriversi_inflow,1010,4,Environmental driver,Boundary volume inflow rate,Inshore zone
fdriversi_outflow,1013,4,Environmental driver,Volume outflow rate,Inshore zone
fdriverso_si_flow,1014,4,Environmental driver,Volume exchange rate,Offshore to inshore zone
fdrivers_upwell,1016,4,Environmental driver,Upwelling rate,Offshore zone
fdriverriver,1017,4,Environmental driver,River volume inflow rate,Inshore zone
fdriverboundso_det,1018,4,Environmental driver,Boundary concentration,Upper layer offshore detritus
fdriverboundd_det,1019,4,Environmental driver,Boundary concentration,Lower layer detritus
fdriverboundsi_det,1020,4,Environmental driver,Boundary concentration,Inshore detritus
fdriverboundso_amm,1021,4,Environmental driver,Boundary concentration,Upper layer offshore ammonia
fdriverboundd_amm,1022,4,Environmental driver,Boundary concentration,Lower layer ammonia
fdriverboundsi_amm,1023,4,Environmental driver,Boundary concentration,Inshore ammonia
fdriverboundso_nit,1024,4,Environmental driver,Boundary concentration,Upper layer offshore nitrate
fdriverboundd_nit,1025,4,Environmental driver,Boundary concentration,Lower layer nitrate
fdriverboundsi_nit,1026,4,Environmental driver,Boundary concentration,Inshore nitrate
fdriverboundso_phyt,1027,4,Environmental driver,Boundary concentration,Upper layer offshore phytoplankton
fdriverboundd_phyt,1028,4,Environmental driver,Boundary concentration,Lower layer phytoplankton
fdriverboundsi_phyt,1029,4,Environmental driver,Boundary concentration,Inshore phytoplankton
fdriverboundriv_amm,1030,4,Environmental driver,Boundary concentration,River ammonia
fdriverboundriv_nit,1031,4,Environmental driver,Boundary concentration,River nitrate
fdriverboundriv_det,1032,4,Environmental driver,Boundary concentration,River detritus
fdriverso_atm_amm,1033,4,Environmental driver,Atmospheric deposition rate,Offshore ammonia
fdriverso_atm_nit,1034,4,Environmental driver,Atmospheric deposition rate,Offshore nitrate
fdriversi_atm_amm,1035,4,Environmental driver,Atmospheric deposition rate,Inshore ammonia
fdriversi_atm_nit,1036,4,Environmental driver,Atmospheric deposition rate,Inshore nitrate
fdriver_s1_erosion,1037,4,Environmental driver,Natural disturbance rate,Inshore muddy sediments
fdriver_s2_erosion,1038,4,Environmental driver,Natural disturbance rate,Inshore sandy sediments
fdriver_s3_erosion,1039,4,Environmental driver,Natural disturbance rate,Inshore coarse sediments
fdriver_d1_erosion,1040,4,Environmental driver,Natural disturbance rate,Offshore muddy sediments
fdriver_d2_erosion,1041,4,Environmental driver,Natural disturbance rate,Offshore sandy sediments
fdriver_d3_erosion,1042,4,Environmental driver,Natural disturbance rate,Offshore coarse sediments
fdriver_s_wave,1043,4,Environmental driver,Significant wave height,Inshore zone
fdriverpfish_sp,1044,4,Biological event driver,Spawning rate,Planktivorous fish
fdriverpfish_rec,1045,4,Biological event driver,Recruitment rate,Planktivorous fish
fdriverdfish_sp,1046,4,Biological event driver,Spawning rate,Demersal fish
fdriverdfish_rec,1047,4,Biological event driver,Recruitment rate,Demersal fish
fdriverbs_sp,1048,4,Biological event driver,Spawning rate,Suspension/deposit feeding benthos
fdriverbs_rec,1049,4,Biological event driver,Recruitment rate,Suspension/deposit feeding benthos
fdriverbc_sp,1050,4,Biological event driver,Spawning rate,Carnivore/scavenge feeding benthos
fdriverbc_rec,1051,4,Biological event driver,Recruitment rate,Carnivore/scavenge feeding benthos
fdrivermfish_im,1052,4,Biological event driver,Immigration rate,Migratory fish
fdrivermfish_em,1053,4,Biological event driver,Emigration rate,Migratory fish
